,product_id,ordered_at,quantity_ordered,old_price,new_price,updated_at
221,4085861,2018-09-15 16:25:00,1,67000,62500,2018-09-13 06:43:00
222,4085861,2018-09-16 16:55:00,1,53500,52000,2018-09-17 22:59:00
223,4085861,2018-09-16 16:55:00,1,53500,67000,2018-09-12 03:51:00
224,4085861,2018-09-16 16:55:00,1,58000,53500,2018-09-17 03:35:00
225,4085861,2018-09-16 16:55:00,1,60000,53500,2018-09-11 08:51:00
226,4085861,2018-09-16 16:55:00,1,62500,58000,2018-09-15 03:51:00
227,4085861,2018-09-16 16:55:00,1,67000,62500,2018-09-13 06:43:00
228,4085861,2018-09-16 21:25:00,1,53500,52000,2018-09-17 22:59:00
229,4085861,2018-09-16 21:25:00,1,53500,67000,2018-09-12 03:51:00
230,4085861,2018-09-16 21:25:00,1,58000,53500,2018-09-17 03:35:00
231,4085861,2018-09-16 21:25:00,1,60000,53500,2018-09-11 08:51:00
232,4085861,2018-09-16 21:25:00,1,62500,58000,2018-09-15 03:51:00
233,4085861,2018-09-16 21:25:00,1,67000,62500,2018-09-13 06:43:00
234,4085861,2018-09-16 09:31:00,1,53500,52000,2018-09-17 22:59:00
235,4085861,2018-09-16 09:31:00,1,53500,67000,2018-09-12 03:51:00
236,4085861,2018-09-16 09:31:00,1,58000,53500,2018-09-17 03:35:00
237,4085861,2018-09-16 09:31:00,1,60000,53500,2018-09-11 08:51:00
238,4085861,2018-09-16 09:31:00,1,62500,58000,2018-09-15 03:51:00
239,4085861,2018-09-16 09:31:00,1,67000,62500,2018-09-13 06:43:00
240,4085861,2018-09-16 15:32:00,1,53500,52000,2018-09-17 22:59:00
241,4085861,2018-09-16 15:32:00,1,53500,67000,2018-09-12 03:51:00
242,4085861,2018-09-16 15:32:00,1,58000,53500,2018-09-17 03:35:00
243,4085861,2018-09-16 15:32:00,1,60000,53500,2018-09-11 08:51:00
244,4085861,2018-09-16 15:32:00,1,62500,58000,2018-09-15 03:51:00
245,4085861,2018-09-16 15:32:00,1,67000,62500,2018-09-13 06:43:00
246,4085861,2018-09-15 18:08:00,1,53500,52000,2018-09-17 22:59:00
247,4085861,2018-09-15 18:08:00,1,53500,67000,2018-09-12 03:51:00
248,4085861,2018-09-15 18:08:00,1,58000,53500,2018-09-17 03:35:00
249,4085861,2018-09-15 18:08:00,1,60000,53500,2018-09-11 08:51:00
250,4085861,2018-09-15 18:08:00,1,62500,58000,2018-09-15 03:51:00
251,4085861,2018-09-15 18:08:00,1,67000,62500,2018-09-13 06:43:00
252,4085861,2018-09-16 22:36:00,1,53500,52000,2018-09-17 22:59:00
253,4085861,2018-09-16 22:36:00,1,53500,67000,2018-09-12 03:51:00
254,4085861,2018-09-16 22:36:00,1,58000,53500,2018-09-17 03:35:00
255,4085861,2018-09-16 22:36:00,1,60000,53500,2018-09-11 08:51:00
256,4085861,2018-09-16 22:36:00,1,62500,58000,2018-09-15 03:51:00
257,4085861,2018-09-16 22:36:00,1,67000,62500,2018-09-13 06:43:00
258,4085861,2018-09-15 21:37:00,1,53500,52000,2018-09-17 22:59:00
259,4085861,2018-09-15 21:37:00,1,53500,67000,2018-09-12 03:51:00
260,4085861,2018-09-15 21:37:00,1,58000,53500,2018-09-17 03:35:00
261,4085861,2018-09-15 21:37:00,1,60000,53500,2018-09-11 08:51:00
262,4085861,2018-09-15 21:37:00,1,62500,58000,2018-09-15 03:51:00
263,4085861,2018-09-15 21:37:00,1,67000,62500,2018-09-13 06:43:00
264,4085861,2018-09-15 18:13:00,1,53500,52000,2018-09-17 22:59:00
265,4085861,2018-09-15 18:13:00,1,53500,67000,2018-09-12 03:51:00
266,4085861,2018-09-15 18:13:00,1,58000,53500,2018-09-17 03:35:00
267,4085861,2018-09-15 18:13:00,1,60000,53500,2018-09-11 08:51:00
268,4085861,2018-09-15 18:13:00,1,62500,58000,2018-09-15 03:51:00
269,4085861,2018-09-15 18:13:00,1,67000,62500,2018-09-13 06:43:00
270,4085861,2018-09-15 14:14:00,1,53500,52000,2018-09-17 22:59:00
271,4085861,2018-09-15 14:14:00,1,53500,67000,2018-09-12 03:51:00
272,4085861,2018-09-15 14:14:00,1,58000,53500,2018-09-17 03:35:00
273,4085861,2018-09-15 14:14:00,1,60000,53500,2018-09-11 08:51:00
274,4085861,2018-09-15 14:14:00,1,62500,58000,2018-09-15 03:51:00
275,4085861,2018-09-15 14:14:00,1,67000,62500,2018-09-13 06:43:00
276,4085861,2018-09-15 11:52:00,1,53500,52000,2018-09-17 22:59:00
277,4085861,2018-09-15 11:52:00,1,53500,67000,2018-09-12 03:51:00
278,4085861,2018-09-15 11:52:00,1,58000,53500,2018-09-17 03:35:00
279,4085861,2018-09-15 11:52:00,1,60000,53500,2018-09-11 08:51:00
280,4085861,2018-09-15 11:52:00,1,62500,58000,2018-09-15 03:51:00
281,4085861,2018-09-15 11:52:00,1,67000,62500,2018-09-13 06:43:00
282,4085861,2018-09-15 21:44:00,1,53500,52000,2018-09-17 22:59:00
283,4085861,2018-09-15 21:44:00,1,53500,67000,2018-09-12 03:51:00
284,4085861,2018-09-15 21:44:00,1,58000,53500,2018-09-17 03:35:00
285,4085861,2018-09-15 21:44:00,1,60000,53500,2018-09-11 08:51:00
286,4085861,2018-09-15 21:44:00,1,62500,58000,2018-09-15 03:51:00
287,4085861,2018-09-15 21:44:00,1,67000,62500,2018-09-13 06:43:00
288,4085861,2018-09-16 13:36:00,1,53500,52000,2018-09-17 22:59:00
289,4085861,2018-09-16 13:36:00,1,53500,67000,2018-09-12 03:51:00
290,4085861,2018-09-16 13:36:00,1,58000,53500,2018-09-17 03:35:00
